cfname,updateddate,addeddate,reportdate,beds_ward_o,mechvent_o,isolbed_o,beds_ward_v,hfhudcode,icu_o,isolbed_v,icu_v,mechvent_v,id
SAGRADO MEDICAL AND CHILDREN'S CLINIC,2020-04-16 8:16:23,2020-04-16 8:16:23,2020-04-16,0,0,0,0,DOH000000000001679,0,0,0,0,156
SAGRADO MEDICAL AND CHILDREN'S CLINIC,2020-04-17 13:22:47,2020-04-17 13:22:47,2020-04-17,0,0,0,0,DOH000000000001679,0,0,0,0,1409
"ADVENTIST HOSPITAL-SANTIAGO CITY, INC.",2020-04-18 8:21:33,2020-04-18 8:21:33,2020-04-18,0,0,0,1,DOH000000000001688,0,1,0,0,1891
"ADVENTIST HOSPITAL-SANTIAGO CITY, INC.",2020-04-16 12:45:43,2020-04-16 12:45:43,2020-04-16,0,0,0,0,DOH000000000001688,0,0,0,0,480
"ADVENTIST HOSPITAL-SANTIAGO CITY, INC.",2020-04-17 8:23:50,2020-04-17 8:23:50,2020-04-17,0,0,0,1,DOH000000000001688,0,1,0,0,1003
"ADVENTIST HOSPITAL-SANTIAGO CITY, INC.",2020-04-19 7:38:57,2020-04-19 7:38:57,2020-04-19,0,0,0,1,DOH000000000001688,0,2,1,0,2557
LEONA O. LIM MEMORIAL HOSPITAL,2020-04-16 10:26:40,2020-04-16 10:26:40,2020-04-16,0,0,0,0,DOH000000000001690,0,0,0,0,359
MADDELA DISTRICT HOSPITAL,2020-04-18 9:31:05,2020-04-18 9:31:05,2020-04-18,0,0,0,0,DOH000000000001771,0,2,0,0,2072
MADDELA DISTRICT HOSPITAL,2020-04-16 13:45:55,2020-04-16 13:45:55,2020-04-16,0,0,0,0,DOH000000000001771,0,2,0,0,526
MADDELA DISTRICT HOSPITAL,2020-04-19 10:51:45,2020-04-19 10:51:45,2020-04-19,0,0,0,0,DOH000000000001771,0,2,0,0,3029
MADDELA DISTRICT HOSPITAL,2020-04-17 8:34:12,2020-04-17 8:34:12,2020-04-17,0,0,1,0,DOH000000000001771,0,2,0,0,1037
"CHARLES W. SELBY MEMORIAL HOSP., INC.",2020-04-19 13:13:46,2020-04-19 13:13:46,2020-04-19,0,0,0,4,DOH000000000001791,0,4,4,0,3143
GAOAT GENERAL HOSPITAL,2020-04-19 8:43:54,2020-04-19 8:43:54,2020-04-19,0,0,0,0,DOH000000000001804,0,0,0,0,2828
GAOAT GENERAL HOSPITAL,2020-04-16 8:40:07,2020-04-16 8:40:07,2020-04-16,0,0,0,0,DOH000000000001804,0,0,0,0,203
GAOAT GENERAL HOSPITAL,2020-04-18 16:51:57,2020-04-18 16:51:57,2020-04-18,0,0,0,0,DOH000000000001804,0,0,0,0,2385
GAOAT GENERAL HOSPITAL,2020-04-17 8:40:02,2020-04-17 8:40:02,2020-04-17,0,0,0,0,DOH000000000001804,0,0,0,0,1072
VIRGEN MILAGROSA MEDICAL CENTER,2020-04-16 14:45:13,2020-04-16 14:45:13,2020-04-16,0,0,0,0,DOH000000000001806,0,0,0,0,580
VIRGEN MILAGROSA MEDICAL CENTER,2020-04-17 15:22:15,2020-04-17 15:22:15,2020-04-17,0,0,0,0,DOH000000000001806,0,0,0,0,1480
VIRGEN MILAGROSA MEDICAL CENTER,2020-04-18 10:50:30,2020-04-18 10:50:30,2020-04-18,0,0,0,0,DOH000000000001806,0,0,0,0,2164
NORTHERN PALAWAN PROVINCIAL HOSPITAL,2020-04-17 11:36:14,2020-04-17 11:36:14,2020-04-17,0,0,0,0,DOH000000000001819,0,0,0,0,1341
LINGAYEN DISTRICT HOSPITAL,2020-04-18 15:25:36,2020-04-18 15:25:36,2020-04-18,0,0,0,0,DOH000000000001824,4,3,2,0,2332
LINGAYEN DISTRICT HOSPITAL,2020-04-17 15:05:44,2020-04-17 11:10:08,2020-04-17,0,0,0,0,DOH000000000001824,0,3,6,0,1312
MINA DE ORO GENERAL HOSPITAL,2020-04-16 14:15:05,2020-04-16 14:15:05,2020-04-16,0,0,0,0,DOH000000000001825,0,3,0,0,554
MINA DE ORO GENERAL HOSPITAL,2020-04-18 18:06:22,2020-04-18 18:06:22,2020-04-18,0,0,0,0,DOH000000000001825,0,3,0,0,2411
STA. MARIA MEDICAL CLINIC & HOSPITAL,2020-04-19 13:49:39,2020-04-19 13:49:39,2020-04-19,0,0,0,0,DOH000000000001843,0,0,0,0,3171
"BONTUYAN MEDICAL HOSPITAL, INC.",2020-04-16 17:57:14,2020-04-16 17:57:14,2020-04-16,0,0,0,0,DOH000000000001866,0,0,0,0,694
"BONTUYAN MEDICAL HOSPITAL, INC.",2020-04-18 22:25:55,2020-04-18 22:25:55,2020-04-18,0,0,0,0,DOH000000000001866,0,0,0,0,2439
"BONTUYAN MEDICAL HOSPITAL, INC.",2020-04-17 14:47:54,2020-04-17 14:47:54,2020-04-17,0,0,0,0,DOH000000000001866,0,0,0,0,1458
PALANAN STATION HOSPITAL,2020-04-19 8:15:32,2020-04-19 8:15:32,2020-04-19,0,0,0,1,DOH000000000001880,0,0,0,0,2716
PALANAN STATION HOSPITAL,2020-04-17 10:47:08,2020-04-17 10:47:08,2020-04-17,0,0,0,1,DOH000000000001880,0,0,0,0,1293
PALANAN STATION HOSPITAL,2020-04-18 14:35:18,2020-04-18 14:35:18,2020-04-18,0,0,0,1,DOH000000000001880,0,0,0,0,2306
BAYAWAN DISTRICT HOSPITAL,2020-04-19 8:01:25,2020-04-19 8:01:25,2020-04-19,0,0,2,0,DOH000000000001891,0,3,0,0,2639
BAYAWAN DISTRICT HOSPITAL,2020-04-16 15:33:09,2020-04-16 15:33:09,2020-04-16,0,0,2,0,DOH000000000001891,0,3,0,0,616
BAYAWAN DISTRICT HOSPITAL,2020-04-18 17:29:50,2020-04-18 8:24:24,2020-04-18,0,0,2,0,DOH000000000001891,0,3,0,0,1901
BAYAWAN DISTRICT HOSPITAL,2020-04-17 9:31:05,2020-04-17 9:31:05,2020-04-17,0,0,2,0,DOH000000000001891,0,3,0,0,1183
"IMMACULATE CONCEPTION MEDICAL CENTER OF CENTRAL LUZON, INC.",2020-04-19 13:17:21,2020-04-19 13:17:21,2020-04-19,0,1,3,0,DOH000000000001892,1,0,0,0,3146
AGLIPAY DISTRICT HOSPITAL,2020-04-19 8:12:27,2020-04-19 8:12:27,2020-04-19,0,0,0,0,DOH000000000001898,0,0,0,0,2698
AGLIPAY DISTRICT HOSPITAL,2020-04-18 8:26:53,2020-04-18 8:26:53,2020-04-18,0,0,0,0,DOH000000000001898,0,0,0,0,1912
AGLIPAY DISTRICT HOSPITAL,2020-04-16 9:45:41,2020-04-16 9:45:41,2020-04-16,0,0,0,0,DOH000000000001898,0,0,0,0,315
AGLIPAY DISTRICT HOSPITAL,2020-04-17 15:36:35,2020-04-17 15:36:35,2020-04-17,0,0,0,0,DOH000000000001898,0,0,0,0,1486
LLORENTE MUNICIPAL HOSPITAL,2020-04-16 12:38:27,2020-04-16 12:38:27,2020-04-16,0,0,0,0,DOH000000000001930,0,1,0,0,478
LLORENTE MUNICIPAL HOSPITAL,2020-04-19 8:43:40,2020-04-19 8:43:40,2020-04-19,0,0,0,0,DOH000000000001930,0,1,0,0,2826
LLORENTE MUNICIPAL HOSPITAL,2020-04-18 8:18:43,2020-04-18 8:18:43,2020-04-18,0,0,0,0,DOH000000000001930,0,1,0,0,1875
LLORENTE MUNICIPAL HOSPITAL,2020-04-17 8:13:01,2020-04-17 8:13:01,2020-04-17,0,0,0,0,DOH000000000001930,0,1,0,0,944
MIRANDA FAMILY HOSPITAL,2020-04-18 15:30:59,2020-04-18 15:30:59,2020-04-18,0,0,0,0,DOH000000000001933,0,0,0,0,2335
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-16 15:28:23,2020-04-16 15:28:23,2020-04-16,0,0,1,0,DOH000000000001945,0,0,0,0,613
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-19 10:11:31,2020-04-19 10:11:31,2020-04-19,0,0,1,0,DOH000000000001945,0,0,0,0,2987
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-17 11:01:49,2020-04-17 11:01:49,2020-04-17,1,0,1,0,DOH000000000001945,0,0,0,0,1309
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-18 9:21:35,2020-04-18 9:21:35,2020-04-18,1,0,1,0,DOH000000000001945,0,0,0,0,2051
MAGTABOG GENERAL HOSPITAL,2020-04-16 15:43:09,2020-04-16 15:43:09,2020-04-16,0,0,0,0,DOH000000000001955,0,0,0,0,623
MAGTABOG GENERAL HOSPITAL,2020-04-17 15:48:56,2020-04-17 15:48:56,2020-04-17,0,0,0,0,DOH000000000001955,0,0,0,0,1495
MAGTABOG GENERAL HOSPITAL,2020-04-18 8:37:59,2020-04-18 8:37:59,2020-04-18,0,0,0,0,DOH000000000001955,0,0,0,0,1947
MARIVELES MENTAL WELLNESS  AND GENERAL HOSPITAL,2020-04-16 16:21:37,2020-04-16 16:21:37,2020-04-16,6,0,8,6,DOH000000000001977,0,3,0,0,651
MARIVELES MENTAL WELLNESS  AND GENERAL HOSPITAL,2020-04-18 16:13:17,2020-04-18 16:13:17,2020-04-18,6,0,6,6,DOH000000000001977,0,5,0,0,2360
MARIVELES MENTAL WELLNESS  AND GENERAL HOSPITAL,2020-04-19 13:31:10,2020-04-19 13:31:10,2020-04-19,5,0,6,7,DOH000000000001977,0,5,0,0,3155
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-19 8:52:00,2020-04-19 8:52:00,2020-04-19,0,0,0,0,DOH000000000001979,0,0,0,0,2850
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-16 8:02:28,2020-04-16 8:02:28,2020-04-16,0,0,0,0,DOH000000000001979,0,0,0,0,121
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-17 8:30:02,2020-04-17 8:30:02,2020-04-17,0,0,0,0,DOH000000000001979,0,0,0,0,1024
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-18 9:04:04,2020-04-18 9:04:04,2020-04-18,0,0,0,0,DOH000000000001979,0,0,0,0,2014
ALICIA DISTRICT HOSPITAL,2020-04-16 6:20:46,2020-04-16 6:20:46,2020-04-16,0,0,1,0,DOH000000000001980,0,5,0,0,20
ALICIA DISTRICT HOSPITAL,2020-04-17 8:39:33,2020-04-17 8:39:33,2020-04-17,0,0,0,0,DOH000000000001980,0,6,0,0,1068
ALICIA DISTRICT HOSPITAL,2020-04-18 7:18:12,2020-04-18 7:18:12,2020-04-18,0,0,0,0,DOH000000000001980,0,6,0,0,1650
ALICIA DISTRICT HOSPITAL,2020-04-19 7:17:22,2020-04-19 7:17:22,2020-04-19,0,0,0,0,DOH000000000001980,0,6,0,0,2518
MANDAON MEDICARE COMMUNITY HOSPITAL,2020-04-19 9:36:36,2020-04-19 9:36:36,2020-04-19,0,0,0,0,DOH000000000001994,0,0,0,0,2937
MANDAON MEDICARE COMMUNITY HOSPITAL,2020-04-18 15:34:50,2020-04-18 15:34:50,2020-04-18,0,0,0,0,DOH000000000001994,0,0,0,0,2337
MANDAON MEDICARE COMMUNITY HOSPITAL,2020-04-17 16:11:57,2020-04-17 16:11:57,2020-04-17,0,0,0,0,DOH000000000001994,0,0,0,0,1509
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-18 7:25:01,2020-04-18 7:25:01,2020-04-18,0,0,0,0,DOH000000000002014,0,2,0,0,1666
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-19 7:09:18,2020-04-19 7:09:18,2020-04-19,0,0,0,0,DOH000000000002014,0,2,0,0,2504
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-17 12:40:09,2020-04-17 12:40:09,2020-04-17,0,0,0,0,DOH000000000002014,0,2,0,0,1379
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-16 13:03:52,2020-04-16 13:03:52,2020-04-16,0,0,0,0,DOH000000000002014,0,2,0,0,497
MAGALLANES MEDICARE COMMUNITY HOSPITAL,2020-04-19 3:36:01,2020-04-19 3:36:01,2020-04-19,0,0,0,0,DOH000000000002025,0,1,0,0,2444
MAGALLANES MEDICARE COMMUNITY HOSPITAL,2020-04-16 7:19:13,2020-04-16 7:19:13,2020-04-16,0,0,0,0,DOH000000000002025,0,1,0,0,55
MAGALLANES MEDICARE COMMUNITY HOSPITAL,2020-04-18 7:35:32,2020-04-18 7:35:32,2020-04-18,0,0,0,0,DOH000000000002025,0,1,0,0,1683
MAINIT MEDICARE COMMUNITY HOSPITAL,2020-04-18 16:07:05,2020-04-18 16:07:05,2020-04-18,0,0,0,0,DOH000000000002051,0,0,0,0,2354
MAINIT MEDICARE COMMUNITY HOSPITAL,2020-04-19 13:38:36,2020-04-19 13:38:36,2020-04-19,0,0,0,0,DOH000000000002051,0,0,0,0,3162
MAINIT MEDICARE COMMUNITY HOSPITAL,2020-04-16 11:30:25,2020-04-16 11:30:25,2020-04-16,0,0,0,0,DOH000000000002051,0,0,0,0,415
TINAMBAC MUNICIPAL HOSPITAL,2020-04-16 9:16:57,2020-04-16 9:16:57,2020-04-16,0,0,0,0,DOH000000000002060,0,2,0,0,281
TINAMBAC MUNICIPAL HOSPITAL,2020-04-17 8:38:32,2020-04-17 8:38:32,2020-04-17,0,0,0,0,DOH000000000002060,0,2,0,0,1064
TINAMBAC MUNICIPAL HOSPITAL,2020-04-18 8:23:22,2020-04-18 8:23:22,2020-04-18,0,0,0,0,DOH000000000002060,0,2,0,0,1897
TINAMBAC MUNICIPAL HOSPITAL,2020-04-19 9:34:04,2020-04-19 9:34:04,2020-04-19,0,0,0,0,DOH000000000002060,0,2,0,0,2931
"LOPEZ DISTRICT FARMERS HOSPITAL, INC.",2020-04-17 10:21:21,2020-04-17 10:21:21,2020-04-17,0,0,0,0,DOH000000000002102,0,0,0,0,1259
"LOPEZ DISTRICT FARMERS HOSPITAL, INC.",2020-04-16 17:41:38,2020-04-16 17:41:38,2020-04-16,0,0,0,0,DOH000000000002102,0,1,0,0,688
"LOPEZ DISTRICT FARMERS HOSPITAL, INC.",2020-04-19 8:06:10,2020-04-19 8:06:10,2020-04-19,0,0,0,0,DOH000000000002102,0,1,0,0,2665
"LOPEZ DISTRICT FARMERS HOSPITAL, INC.",2020-04-18 15:24:10,2020-04-18 15:24:10,2020-04-18,0,0,0,0,DOH000000000002102,0,0,0,0,2331
PINES CITY DOCTORS? HOSPITAL,2020-04-19 6:29:58,2020-04-19 6:29:58,2020-04-19,0,0,1,0,DOH000000000002113,0,0,0,0,2467
PINES CITY DOCTORS? HOSPITAL,2020-04-18 7:40:32,2020-04-18 7:40:32,2020-04-18,0,0,1,0,DOH000000000002113,0,0,0,0,1693
PINES CITY DOCTORS? HOSPITAL,2020-04-16 18:14:52,2020-04-16 18:14:52,2020-04-16,0,0,1,0,DOH000000000002113,0,0,0,0,701
PINES CITY DOCTORS? HOSPITAL,2020-04-17 6:18:11,2020-04-17 6:18:11,2020-04-17,0,0,2,0,DOH000000000002113,0,0,0,0,739
CLAVERIA DISTRICT HOSPITAL,2020-04-17 4:35:51,2020-04-17 4:35:51,2020-04-17,0,0,0,0,DOH000000000002129,0,3,0,0,723
CLAVERIA DISTRICT HOSPITAL,2020-04-18 3:31:51,2020-04-18 3:31:51,2020-04-18,0,0,0,0,DOH000000000002129,0,3,0,0,1584
CLAVERIA DISTRICT HOSPITAL,2020-04-16 4:36:08,2020-04-16 4:36:08,2020-04-16,0,0,0,0,DOH000000000002129,0,3,0,0,11
CLAVERIA DISTRICT HOSPITAL,2020-04-19 5:21:09,2020-04-19 5:21:09,2020-04-19,0,0,0,0,DOH000000000002129,0,3,0,0,2447
DVO. ORIENTAL PROV'L. HOSP-MANAY,2020-04-18 16:11:11,2020-04-18 16:11:11,2020-04-18,0,0,0,0,DOH000000000002131,0,0,0,0,2358
DVO. ORIENTAL PROV'L. HOSP-MANAY,2020-04-16 10:14:01,2020-04-16 10:14:01,2020-04-16,0,0,0,0,DOH000000000002131,0,0,0,0,349
DVO. ORIENTAL PROV'L. HOSP-MANAY,2020-04-17 16:09:16,2020-04-17 16:09:16,2020-04-17,0,0,0,0,DOH000000000002131,0,0,0,0,1506
MANGATAREM DISTRICT HOSPITAL,2020-04-16 8:33:09,2020-04-16 8:33:09,2020-04-16,0,0,0,0,DOH000000000002132,0,4,0,0,189
MANGATAREM DISTRICT HOSPITAL,2020-04-19 7:41:29,2020-04-19 7:41:29,2020-04-19,0,0,0,0,DOH000000000002132,0,4,0,0,2567
MANGATAREM DISTRICT HOSPITAL,2020-04-18 9:22:24,2020-04-18 9:22:24,2020-04-18,0,0,0,0,DOH000000000002132,0,4,0,0,2055
MANGATAREM DISTRICT HOSPITAL,2020-04-17 9:25:24,2020-04-17 9:25:24,2020-04-17,0,0,0,0,DOH000000000002132,0,4,0,0,1173
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-18 6:53:11,2020-04-18 6:53:11,2020-04-18,0,0,0,0,DOH000000000002141,0,0,0,0,1617
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-19 7:22:16,2020-04-19 7:22:16,2020-04-19,0,0,0,0,DOH000000000002141,0,0,0,0,2527
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-16 7:14:27,2020-04-16 7:14:27,2020-04-16,0,0,0,0,DOH000000000002141,0,0,0,0,50
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-17 6:45:16,2020-04-17 6:45:16,2020-04-17,0,0,0,0,DOH000000000002141,0,0,0,0,749
BUTUAN MEDICAL CENTER,2020-04-17 7:52:03,2020-04-17 7:52:03,2020-04-17,0,0,0,0,DOH000000000002143,1,7,3,0,845
BUTUAN MEDICAL CENTER,2020-04-18 13:00:28,2020-04-18 13:00:28,2020-04-18,0,0,0,0,DOH000000000002143,1,7,3,0,2266
"BETHEL BAPTIST HOSPITAL, INC.",2020-04-17 9:21:30,2020-04-17 9:21:30,2020-04-17,0,0,0,0,DOH000000000002151,0,0,0,0,1167
"BETHEL BAPTIST HOSPITAL, INC.",2020-04-18 7:31:21,2020-04-18 7:31:21,2020-04-18,0,0,0,0,DOH000000000002151,0,0,0,0,1675
"BETHEL BAPTIST HOSPITAL, INC.",2020-04-19 7:31:15,2020-04-19 7:31:15,2020-04-19,0,0,0,0,DOH000000000002151,0,0,0,0,2542
LORETO MUNICIPAL HOSPITAL,2020-04-16 7:56:43,2020-04-16 7:56:43,2020-04-16,0,0,0,0,DOH000000000002154,0,0,0,0,109
LORETO MUNICIPAL HOSPITAL,2020-04-18 7:37:57,2020-04-18 7:37:57,2020-04-18,0,0,0,0,DOH000000000002154,0,0,0,0,1689
LORETO MUNICIPAL HOSPITAL,2020-04-17 7:30:23,2020-04-17 7:30:23,2020-04-17,0,0,0,0,DOH000000000002154,0,0,0,0,801
LORETO MUNICIPAL HOSPITAL,2020-04-19 10:02:53,2020-04-19 10:02:53,2020-04-19,0,0,0,0,DOH000000000002154,0,0,0,0,2976
"MALTA MEDICAL CENTER, INC.",2020-04-18 8:19:07,2020-04-18 8:19:07,2020-04-18,0,0,0,0,DOH000000000002156,0,0,0,0,1879
"MALTA MEDICAL CENTER, INC.",2020-04-17 8:07:40,2020-04-17 8:07:40,2020-04-17,0,0,0,0,DOH000000000002156,0,0,0,0,909
"MALTA MEDICAL CENTER, INC.",2020-04-16 17:20:29,2020-04-16 17:20:29,2020-04-16,0,0,0,0,DOH000000000002156,0,0,0,0,682
MANITO MUNICIPAL HOSPITAL,2020-04-16 11:29:49,2020-04-16 11:29:49,2020-04-16,0,0,0,0,DOH000000000002159,0,1,0,0,414
MANITO MUNICIPAL HOSPITAL,2020-04-19 9:17:12,2020-04-19 9:17:12,2020-04-19,0,0,0,0,DOH000000000002159,0,1,0,0,2901
MANITO MUNICIPAL HOSPITAL,2020-04-18 9:51:11,2020-04-18 9:51:11,2020-04-18,0,0,0,0,DOH000000000002159,0,1,0,0,2100
MANITO MUNICIPAL HOSPITAL,2020-04-17 12:39:44,2020-04-17 12:39:44,2020-04-17,0,0,0,0,DOH000000000002159,0,1,0,0,1378
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-18 10:04:58,2020-04-18 10:04:58,2020-04-18,0,0,0,0,DOH000000000002163,0,0,0,0,2111
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-19 6:07:59,2020-04-19 6:07:59,2020-04-19,0,0,0,0,DOH000000000002163,0,0,0,0,2455
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-16 5:43:43,2020-04-16 5:43:43,2020-04-16,0,0,0,0,DOH000000000002163,0,0,0,0,16
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-17 6:11:33,2020-04-17 6:11:33,2020-04-17,0,0,0,0,DOH000000000002163,0,0,0,0,735
"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",2020-04-18 8:33:50,2020-04-18 8:33:50,2020-04-18,0,0,4,7,DOH000000000002172,0,27,7,0,1928
"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",2020-04-19 7:52:52,2020-04-19 7:52:52,2020-04-19,0,0,4,7,DOH000000000002172,0,27,7,0,2600
"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",2020-04-17 10:21:48,2020-04-17 10:21:48,2020-04-17,0,0,4,7,DOH000000000002172,0,27,7,0,1260
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,2020-04-18 7:48:20,2020-04-18 7:48:20,2020-04-18,0,0,0,0,DOH000000000002191,0,0,0,0,1712
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,2020-04-17 12:02:24,2020-04-17 12:02:24,2020-04-17,0,0,0,0,DOH000000000002191,0,0,0,0,1361
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,2020-04-16 11:59:36,2020-04-16 11:59:36,2020-04-16,0,0,0,0,DOH000000000002191,0,0,0,0,446
Dr. PJGMRMC Talavera Extension Hospital,2020-04-16 14:33:48,2020-04-16 14:33:48,2020-04-16,0,0,5,0,DOH000000000002212,0,0,0,0,571
Dr. PJGMRMC Talavera Extension Hospital,2020-04-17 7:33:31,2020-04-17 7:33:31,2020-04-17,0,0,5,0,DOH000000000002212,0,0,0,0,808
Dr. PJGMRMC Talavera Extension Hospital,2020-04-19 10:04:45,2020-04-19 10:04:45,2020-04-19,0,0,5,0,DOH000000000002212,0,0,0,0,2981
Dr. PJGMRMC Talavera Extension Hospital,2020-04-18 8:49:30,2020-04-18 8:49:30,2020-04-18,0,0,5,0,DOH000000000002212,0,0,0,0,1974
AGOO MEDICAL CLINIC,2020-04-18 12:29:18,2020-04-18 12:29:18,2020-04-18,0,0,0,0,DOH000000000002255,0,0,0,0,2248
AGOO MEDICAL CLINIC,2020-04-19 13:00:23,2020-04-19 13:00:23,2020-04-19,0,0,0,0,DOH000000000002255,0,0,0,0,3133
AGOO MEDICAL CLINIC,2020-04-17 8:51:54,2020-04-17 8:51:54,2020-04-17,0,0,0,0,DOH000000000002255,0,0,0,0,1109
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-16 10:44:11,2020-04-16 10:44:11,2020-04-16,0,0,0,0,DOH000000000002260,0,0,0,0,379
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-18 9:36:39,2020-04-18 9:36:39,2020-04-18,0,0,0,0,DOH000000000002260,0,0,0,0,2079
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-19 8:39:56,2020-04-19 8:39:56,2020-04-19,0,0,0,0,DOH000000000002260,0,0,0,0,2815
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-17 10:00:42,2020-04-17 10:00:42,2020-04-17,0,0,0,0,DOH000000000002260,0,0,0,0,1232
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-18 11:56:41,2020-04-18 11:56:41,2020-04-18,0,0,0,0,DOH000000000002262,0,0,0,0,2229
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-17 13:36:58,2020-04-17 13:36:58,2020-04-17,0,0,0,0,DOH000000000002262,0,0,0,0,1422
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-19 11:04:54,2020-04-19 11:04:54,2020-04-19,0,0,0,0,DOH000000000002262,0,0,0,0,3039
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-16 14:04:40,2020-04-16 14:04:40,2020-04-16,0,0,0,0,DOH000000000002262,0,0,0,0,541
PINEDA-AQUINO GENERAL HOSP,2020-04-19 13:33:28,2020-04-19 13:33:28,2020-04-19,0,0,0,0,DOH000000000002270,0,0,0,0,3157
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-16 9:39:37,2020-04-16 9:39:37,2020-04-16,0,0,0,0,DOH000000000002271,0,1,0,0,307
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-19 14:12:43,2020-04-19 14:12:43,2020-04-19,0,0,0,0,DOH000000000002271,0,1,0,0,3182
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-18 15:36:22,2020-04-18 15:36:22,2020-04-18,0,0,0,0,DOH000000000002271,0,1,0,0,2339
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-17 15:00:45,2020-04-17 15:00:45,2020-04-17,0,0,0,0,DOH000000000002271,0,1,0,0,1467
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-19 9:32:36,2020-04-19 9:32:36,2020-04-19,0,0,0,0,DOH000000000002297,0,0,0,0,2928
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-16 8:05:38,2020-04-16 8:05:38,2020-04-16,0,0,0,0,DOH000000000002297,0,0,0,0,130
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-17 8:46:00,2020-04-17 8:46:00,2020-04-17,0,0,0,0,DOH000000000002297,0,0,0,0,1087
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-18 8:34:51,2020-04-18 8:34:51,2020-04-18,0,0,0,0,DOH000000000002297,0,0,0,0,1934
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-15 17:07:04,2020-04-15 17:07:04,2020-04-15,0,0,0,0,DOH000000000002297,0,0,0,0,2
CORROMPIDO SPECIALTY HOSPITAL,2020-04-18 10:58:40,2020-04-18 10:58:40,2020-04-18,0,0,0,0,DOH000000000002321,1,0,1,0,2170
CORROMPIDO SPECIALTY HOSPITAL,2020-04-16 16:36:37,2020-04-16 16:36:37,2020-04-16,0,0,1,0,DOH000000000002321,0,1,0,0,660
LOPEZ FAMILY CLINIC AND HOSPITAL,2020-04-17 15:22:18,2020-04-17 15:22:18,2020-04-17,0,0,0,0,DOH000000000002326,0,1,0,0,1481
DE LOS REYES MEDICAL CLINIC,2020-04-18 8:05:36,2020-04-18 8:05:36,2020-04-18,0,0,0,0,DOH000000000002332,0,1,0,0,1802
DE LOS REYES MEDICAL CLINIC,2020-04-17 11:25:48,2020-04-17 11:25:48,2020-04-17,0,0,0,0,DOH000000000002332,0,1,0,0,1332
DE LOS REYES MEDICAL CLINIC,2020-04-19 8:10:05,2020-04-19 8:10:05,2020-04-19,0,0,0,0,DOH000000000002332,0,1,0,0,2683
DE LOS REYES MEDICAL CLINIC,2020-04-16 8:21:11,2020-04-16 8:21:11,2020-04-16,0,0,0,0,DOH000000000002332,0,1,0,0,163
