cfname,updateddate,addeddate,beds_ward_v,id,hfhudcode,icu_o,isolbed_v,reportdate,isolbed_o,mechvent_o,mechvent_v,beds_ward_o,icu_v
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-17 10:00:42,2020-04-17 10:00:42,0,1232,DOH000000000002260,0,0,2020-04-17,0,0,0,0,0
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-17 13:36:58,2020-04-17 13:36:58,0,1422,DOH000000000002262,0,0,2020-04-17,0,0,0,0,0
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-16 14:04:40,2020-04-16 14:04:40,0,541,DOH000000000002262,0,0,2020-04-16,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-17 15:00:45,2020-04-17 15:00:45,0,1467,DOH000000000002271,0,1,2020-04-17,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-16 9:39:37,2020-04-16 9:39:37,0,307,DOH000000000002271,0,1,2020-04-16,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-16 8:05:38,2020-04-16 8:05:38,0,130,DOH000000000002297,0,0,2020-04-16,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-15 17:07:04,2020-04-15 17:07:04,0,2,DOH000000000002297,0,0,2020-04-15,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-17 8:46:00,2020-04-17 8:46:00,0,1087,DOH000000000002297,0,0,2020-04-17,0,0,0,0,0
CORROMPIDO SPECIALTY HOSPITAL,2020-04-16 16:36:37,2020-04-16 16:36:37,0,660,DOH000000000002321,0,1,2020-04-16,1,0,0,0,0
DE LOS REYES MEDICAL CLINIC,2020-04-17 11:25:48,2020-04-17 11:25:48,0,1332,DOH000000000002332,0,1,2020-04-17,0,0,0,0,0
DE LOS REYES MEDICAL CLINIC,2020-04-16 8:21:11,2020-04-16 8:21:11,0,163,DOH000000000002332,0,1,2020-04-16,0,0,0,0,0
"BORBON GENERAL HOSPITAL, INC.",2020-04-16 11:48:50,2020-04-16 11:48:50,0,432,DOH000000000002355,0,0,2020-04-16,0,0,0,0,0
"BORBON GENERAL HOSPITAL, INC.",2020-04-17 8:29:16,2020-04-17 8:29:16,0,1020,DOH000000000002355,0,0,2020-04-17,0,0,0,0,0
DR. A.P ZANTUA MEMORIAL HOSPITAL,2020-04-17 12:41:57,2020-04-17 12:41:57,0,1381,DOH000000000002406,0,0,2020-04-17,0,0,0,0,0
DR. A.P ZANTUA MEMORIAL HOSPITAL,2020-04-16 14:08:34,2020-04-16 14:08:34,0,544,DOH000000000002406,0,0,2020-04-16,0,0,0,0,0
JULIO CARDINAL ROSALES MEMORIAL HOSPITAL,2020-04-16 12:07:13,2020-04-16 12:07:13,0,454,DOH000000000002420,0,0,2020-04-16,0,0,0,0,0
JULIO CARDINAL ROSALES MEMORIAL HOSPITAL,2020-04-17 9:39:41,2020-04-17 9:39:41,0,1201,DOH000000000002420,0,0,2020-04-17,0,0,0,0,0
BISLIG DISTRICT HOSPITAL,2020-04-16 8:46:12,2020-04-16 8:46:12,2,225,DOH000000000002421,0,6,2020-04-16,0,0,0,0,0
BISLIG DISTRICT HOSPITAL,2020-04-17 7:54:14,2020-04-17 7:54:14,2,853,DOH000000000002421,0,6,2020-04-17,0,0,0,0,0
CANDIJAY COMMUNITY HOSPITAL,2020-04-17 10:00:23,2020-04-17 10:00:23,0,1231,DOH000000000002435,0,3,2020-04-17,0,0,0,0,0
DONA MARIA D. TAN MEMORIAL HOSPITAL,2020-04-16 16:34:36,2020-04-16 16:34:36,0,659,DOH000000000002451,0,33,2020-04-16,0,0,0,0,0
DONA MARIA D. TAN MEMORIAL HOSPITAL,2020-04-17 14:48:06,2020-04-17 14:48:06,0,1459,DOH000000000002451,0,33,2020-04-17,0,0,0,0,0
LILOY INTEGRATED HEALTH DISTRICT HOSPITAL,2020-04-17 7:44:32,2020-04-17 7:44:32,0,826,DOH000000000002452,0,0,2020-04-17,0,0,0,0,0
LILOY INTEGRATED HEALTH DISTRICT HOSPITAL,2020-04-16 8:17:37,2020-04-16 8:17:37,0,159,DOH000000000002452,0,0,2020-04-16,0,0,0,0,0
SIPOCOT DISTRICT HOSPITAL,2020-04-16 8:08:55,2020-04-16 8:08:55,0,141,DOH000000000002462,0,2,2020-04-16,0,0,0,0,0
SIPOCOT DISTRICT HOSPITAL,2020-04-17 7:47:06,2020-04-17 7:47:06,0,831,DOH000000000002462,0,2,2020-04-17,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,2020-04-16 13:00:37,2020-04-16 13:00:37,0,494,DOH000000000002463,0,0,2020-04-16,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,2020-04-17 10:28:34,2020-04-17 10:28:34,0,1267,DOH000000000002463,0,0,2020-04-17,0,0,0,0,0
ROSARIO-TRINO MEDICAL CLINIC AND DIAGNOSTIC CENTER,2020-04-16 13:38:55,2020-04-16 13:38:55,0,520,DOH000000000002471,0,0,2020-04-16,0,0,0,0,0
ROSARIO-TRINO MEDICAL CLINIC AND DIAGNOSTIC CENTER,2020-04-17 8:38:28,2020-04-17 8:38:28,0,1063,DOH000000000002471,0,0,2020-04-17,0,0,0,0,0
"DIGOS DOCTORS? HOSPITAL, INC.",2020-04-16 12:59:45,2020-04-16 12:59:45,0,492,DOH000000000002479,0,0,2020-04-16,2,0,0,0,0
"DIGOS DOCTORS? HOSPITAL, INC.",2020-04-17 15:18:57,2020-04-17 15:18:57,0,1478,DOH000000000002479,0,0,2020-04-17,2,0,0,0,2
AMOROSO MEDICAL CLINIC,2020-04-16 8:29:55,2020-04-16 8:29:55,0,183,DOH000000000002490,0,0,2020-04-16,0,0,0,0,0
AMOROSO MEDICAL CLINIC,2020-04-17 8:05:19,2020-04-17 8:05:19,0,896,DOH000000000002490,0,0,2020-04-17,0,0,0,0,0
SAN CARLOS DOCTORS' HOSPITAL,2020-04-17 8:54:57,2020-04-17 8:54:57,0,1117,DOH000000000002495,0,9,2020-04-17,0,0,0,0,2
SAN CARLOS DOCTORS' HOSPITAL,2020-04-16 11:03:41,2020-04-16 11:03:41,0,397,DOH000000000002495,0,9,2020-04-16,0,0,0,0,2
"JAVONILLO HOSPITAL, INC.",2020-04-17 8:29:03,2020-04-17 8:29:03,0,1019,DOH000000000002506,0,0,2020-04-17,0,0,0,0,0
ST. PAUL GENERAL HOSPITAL,2020-04-16 16:21:56,2020-04-16 16:21:56,0,652,DOH000000000002532,0,1,2020-04-16,0,0,0,0,0
QUEZON COMMUNITY INFIRMARY,2020-04-16 7:00:54,2020-04-16 7:00:54,0,41,DOH000000000002549,0,1,2020-04-16,0,0,0,0,0
QUEZON COMMUNITY INFIRMARY,2020-04-17 9:41:27,2020-04-17 9:41:27,0,1206,DOH000000000002549,0,1,2020-04-17,0,0,0,0,0
AUGUIS CLINIC & HOSPITAL,2020-04-17 8:59:56,2020-04-17 8:59:56,0,1132,DOH000000000002560,0,1,2020-04-17,0,0,0,0,0
"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",2020-04-17 8:12:49,2020-04-17 8:12:49,0,943,DOH000000000002597,0,0,2020-04-17,0,0,0,0,0
"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",2020-04-16 8:31:06,2020-04-16 8:31:06,0,185,DOH000000000002597,0,0,2020-04-16,0,0,0,0,0
MMGHHSP COOPERATI VE HOSPITAL,2020-04-17 8:57:00,2020-04-17 8:57:00,0,1126,DOH000000000002634,0,2,2020-04-17,0,0,0,0,0
MMGHHSP COOPERATI VE HOSPITAL,2020-04-16 10:30:23,2020-04-16 10:30:23,0,367,DOH000000000002634,0,2,2020-04-16,1,0,0,0,0
MANUEL A. ROXAS DISTRICT HOSPITAL,2020-04-16 10:54:40,2020-04-16 10:54:40,0,389,DOH000000000002676,0,5,2020-04-16,0,0,0,0,0
MANUEL A. ROXAS DISTRICT HOSPITAL,2020-04-17 8:55:50,2020-04-17 8:55:50,0,1122,DOH000000000002676,0,5,2020-04-17,0,0,0,0,0
ORMOC DISTRICT HOSPITAL,2020-04-16 11:42:33,2020-04-16 11:42:33,6,428,DOH000000000002691,0,6,2020-04-16,0,0,0,0,6
ORMOC DISTRICT HOSPITAL,2020-04-17 8:14:58,2020-04-17 8:14:58,6,954,DOH000000000002691,0,6,2020-04-17,0,0,0,0,0
PALUAN COMMUNITY HOSPITAL,2020-04-17 8:23:13,2020-04-17 8:23:13,0,997,DOH000000000002713,0,3,2020-04-17,0,0,0,0,0
PALUAN COMMUNITY HOSPITAL,2020-04-16 12:20:32,2020-04-16 12:20:32,0,467,DOH000000000002713,0,3,2020-04-16,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - INITAO,2020-04-17 9:57:06,2020-04-17 9:57:06,0,1227,DOH000000000002732,0,1,2020-04-17,0,0,0,0,0
GREGORIO MATAS DISTRICT HOSPITAL,2020-04-16 12:19:27,2020-04-16 12:19:27,0,465,DOH000000000002747,0,0,2020-04-16,0,0,0,0,0
DR. DAMIAN REYES PROVINCIAL HOSPITAL,2020-04-16 9:30:18,2020-04-16 9:30:18,10,298,DOH000000000002748,0,20,2020-04-16,0,0,0,0,0
DR. DAMIAN REYES PROVINCIAL HOSPITAL,2020-04-17 9:04:22,2020-04-17 9:04:22,10,1140,DOH000000000002748,0,20,2020-04-17,0,0,0,0,0
WESTMIN UNITED DOCTORS HOSPITAL CO.,2020-04-16 8:07:11,2020-04-16 8:07:11,0,136,DOH000000000002750,0,0,2020-04-16,0,0,0,0,0
WESTMIN UNITED DOCTORS HOSPITAL CO.,2020-04-17 7:43:44,2020-04-17 7:43:44,0,822,DOH000000000002750,0,0,2020-04-17,0,0,0,0,0
CARLOS P. ACOSTA CLINIC & HOSPITAL,2020-04-16 18:42:15,2020-04-16 18:42:15,0,704,DOH000000000002752,0,0,2020-04-16,0,0,0,0,0
CARLOS P. ACOSTA CLINIC & HOSPITAL,2020-04-17 13:29:12,2020-04-17 13:29:12,0,1414,DOH000000000002752,0,0,2020-04-17,0,0,0,0,0
SAINT LAWRENCE HOSPITAL,2020-04-17 8:17:17,2020-04-17 8:17:17,0,966,DOH000000000002761,0,2,2020-04-17,0,0,0,0,0
SAINT LAWRENCE HOSPITAL,2020-04-16 9:31:04,2020-04-16 9:31:04,0,300,DOH000000000002761,0,2,2020-04-16,0,0,0,0,0
CRUZADO MEDICAL HOSPITAL,2020-04-17 13:09:27,2020-04-17 13:09:27,0,1400,DOH000000000002762,0,0,2020-04-17,0,0,0,0,0
RILLERA MEDICAL HOSPITAL,2020-04-17 8:55:29,2020-04-17 8:55:29,0,1120,DOH000000000002767,0,0,2020-04-17,0,0,0,0,0
RILLERA MEDICAL HOSPITAL,2020-04-16 14:01:43,2020-04-16 14:01:43,0,537,DOH000000000002767,0,0,2020-04-16,0,0,0,0,0
MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATI,2020-04-17 7:17:58,2020-04-17 7:17:58,0,780,DOH000000000002804,0,2,2020-04-17,0,0,0,0,0
EDIBORAH P. YAP MEMORIAL HOSPITAL,2020-04-17 8:14:15,2020-04-17 8:14:15,0,953,DOH000000000002808,0,6,2020-04-17,0,0,0,0,0
EDIBORAH P. YAP MEMORIAL HOSPITAL,2020-04-16 9:42:03,2020-04-16 9:42:03,0,310,DOH000000000002808,0,6,2020-04-16,0,0,0,0,0
NUEVA VALENCIA DISTRICT HOSPITAL,2020-04-16 10:34:54,2020-04-16 10:34:54,0,371,DOH000000000002810,0,2,2020-04-16,0,0,0,0,0
NUEVA VALENCIA DISTRICT HOSPITAL,2020-04-17 11:03:36,2020-04-17 11:03:36,0,1310,DOH000000000002810,0,2,2020-04-17,0,0,0,0,0
POZORRUBIO COMMUNITY HOSPITAL,2020-04-16 13:03:49,2020-04-16 13:03:49,0,496,DOH000000000002819,0,0,2020-04-16,0,0,0,0,0
POZORRUBIO COMMUNITY HOSPITAL,2020-04-17 8:31:08,2020-04-17 8:31:08,0,1029,DOH000000000002819,0,0,2020-04-17,0,0,0,0,0
TARANGNAN COMMUNITY HOSPITAL,2020-04-17 8:40:44,2020-04-17 8:40:44,0,1074,DOH000000000002825,0,4,2020-04-17,1,0,0,0,0
TARANGNAN COMMUNITY HOSPITAL,2020-04-16 17:29:39,2020-04-16 17:29:39,0,684,DOH000000000002825,0,4,2020-04-16,1,0,0,0,0
LT. TIDANG MEMORIAL HOSPITAL,2020-04-16 10:03:27,2020-04-16 10:03:27,0,338,DOH000000000002828,0,3,2020-04-16,0,0,0,0,0
LT. TIDANG MEMORIAL HOSPITAL,2020-04-17 8:14:03,2020-04-17 8:14:03,0,951,DOH000000000002828,0,3,2020-04-17,0,0,0,0,0
HERAMIL HOSPITAL,2020-04-17 10:03:14,2020-04-17 10:03:14,0,1236,DOH000000000002831,0,0,2020-04-17,0,0,0,0,0
HERAMIL HOSPITAL,2020-04-16 13:51:03,2020-04-16 13:51:03,0,529,DOH000000000002831,0,0,2020-04-16,0,0,0,0,0
DAVAO DEL NORTE HOSPITAL ( CARMEN ZONE),2020-04-17 9:49:33,2020-04-17 9:49:33,0,1219,DOH000000000002848,0,0,2020-04-17,0,0,0,0,0
ALAMADA PROVINCIAL COMMUNITY HOSP.,2020-04-17 12:52:25,2020-04-17 12:52:25,0,1391,DOH000000000002850,0,0,2020-04-17,0,0,0,0,0
ALAMADA PROVINCIAL COMMUNITY HOSP.,2020-04-16 13:16:10,2020-04-16 13:16:10,0,504,DOH000000000002850,0,0,2020-04-16,0,0,0,0,0
SOCORRO DISTRICT HOSPITAL,2020-04-16 7:31:36,2020-04-16 7:31:36,0,76,DOH000000000002851,0,0,2020-04-16,0,0,0,0,0
SOCORRO DISTRICT HOSPITAL,2020-04-17 7:27:34,2020-04-17 7:27:34,0,792,DOH000000000002851,0,0,2020-04-17,0,0,0,0,0
UMINGAN COMMUNITY HOSPITAL,2020-04-17 8:02:59,2020-04-17 8:02:59,0,886,DOH000000000002854,0,3,2020-04-17,0,0,0,0,0
UMINGAN COMMUNITY HOSPITAL,2020-04-16 15:42:52,2020-04-16 15:42:52,0,622,DOH000000000002854,0,3,2020-04-16,0,0,0,0,0
CANDON GENERAL HOSPITAL,2020-04-17 9:10:39,2020-04-17 9:10:39,0,1150,DOH000000000002871,0,0,2020-04-17,0,0,0,0,0
CANDON GENERAL HOSPITAL,2020-04-16 16:17:44,2020-04-16 16:17:44,0,649,DOH000000000002871,0,0,2020-04-16,0,0,0,0,0
DECENA GENERAL HOSPITAL,2020-04-17 8:06:24,2020-04-17 8:06:24,0,904,DOH000000000002879,0,1,2020-04-17,0,0,0,0,0
DECENA GENERAL HOSPITAL,2020-04-16 11:52:35,2020-04-16 11:52:35,0,441,DOH000000000002879,0,1,2020-04-16,0,0,0,0,0
CABREDO GENERAL HOSPITAL,2020-04-17 8:36:53,2020-04-17 8:36:53,0,1055,DOH000000000002881,0,0,2020-04-17,0,0,0,0,0
CABREDO GENERAL HOSPITAL,2020-04-16 9:17:56,2020-04-16 9:17:56,0,282,DOH000000000002881,0,0,2020-04-16,0,0,0,0,0
ZAMBOANGA SIBUGAY PROVINCIAL HOSPITAL,2020-04-17 12:16:13,2020-04-17 12:16:13,0,1369,DOH000000000002910,0,0,2020-04-17,0,0,0,0,0
ZAMBOANGA SIBUGAY PROVINCIAL HOSPITAL,2020-04-16 12:23:54,2020-04-16 12:23:54,0,471,DOH000000000002910,0,0,2020-04-16,0,0,0,0,0
DINGRAS DISTRICT HOSPITAL,2020-04-16 14:27:21,2020-04-16 14:27:21,0,564,DOH000000000002928,0,0,2020-04-16,0,0,0,0,0
DINGRAS DISTRICT HOSPITAL,2020-04-17 11:14:58,2020-04-17 11:14:58,0,1317,DOH000000000002928,0,0,2020-04-17,0,0,0,0,0
AMANCIO-FERNANDEZ LYING IN AND CLINIC,2020-04-17 8:08:35,2020-04-17 8:08:35,0,918,DOH000000000002931,0,0,2020-04-17,0,0,0,0,0
CABA DISTRICT HOSPITAL,2020-04-17 7:58:28,2020-04-17 7:58:28,0,862,DOH000000000002952,0,0,2020-04-17,0,0,0,0,0
CABA DISTRICT HOSPITAL,2020-04-16 16:21:29,2020-04-16 16:21:29,0,650,DOH000000000002952,0,0,2020-04-16,0,0,0,0,0
CORTES MUNICIPAL HOSPITAL,2020-04-17 11:24:15,2020-04-17 11:24:15,1,1329,DOH000000000002961,0,1,2020-04-17,0,0,0,0,0
HOLY NAZARENE CLINIC AND HOSPITAL,2020-04-17 10:13:18,2020-04-17 10:13:18,0,1252,DOH000000000002962,0,0,2020-04-17,0,0,0,0,0
WAO DISTRICT HOSPITAL,2020-04-17 11:17:29,2020-04-17 11:17:29,1,1323,DOH000000000002963,0,2,2020-04-17,0,0,0,0,0
WAO DISTRICT HOSPITAL,2020-04-16 17:46:24,2020-04-16 17:46:24,1,691,DOH000000000002963,0,2,2020-04-16,0,0,0,0,0
ARAKAN VALLEY DISTRICT HOSPITAL,2020-04-17 14:52:35,2020-04-17 14:52:35,0,1463,DOH000000000002974,0,0,2020-04-17,0,0,0,0,0
CASIGURAN DISTRICT HOSPITAL,2020-04-16 8:58:05,2020-04-16 8:58:05,0,248,DOH000000000002983,0,0,2020-04-16,0,0,0,0,0
CASIGURAN DISTRICT HOSPITAL,2020-04-17 7:50:41,2020-04-17 7:50:41,0,839,DOH000000000002983,0,0,2020-04-17,0,0,0,0,0
"ANDA RIVERVIEW MEDICAL CENTER, INC.",2020-04-17 11:26:44,2020-04-17 11:26:44,0,1334,DOH000000000002993,0,0,2020-04-17,0,0,0,0,0
DAVAO DEL NORTE HOSPITAL (KAPALONG  ZONE),2020-04-16 16:05:02,2020-04-16 16:05:02,0,639,DOH000000000002994,0,15,2020-04-16,0,0,0,0,0
ECHAGUE DISTRICT HOSPITAL,2020-04-16 8:53:01,2020-04-16 8:53:01,0,238,DOH000000000002996,0,0,2020-04-16,0,0,0,0,0
ECHAGUE DISTRICT HOSPITAL,2020-04-17 10:46:39,2020-04-17 10:46:39,0,1292,DOH000000000002996,0,0,2020-04-17,0,0,0,0,0
"OSPITAL NG KABATAAN NG DIPOLOG, INC",2020-04-16 7:57:48,2020-04-16 7:57:48,0,112,DOH000000000003014,0,0,2020-04-16,0,0,0,0,0
"OSPITAL NG KABATAAN NG DIPOLOG, INC",2020-04-17 11:13:09,2020-04-17 11:13:09,0,1315,DOH000000000003014,0,0,2020-04-17,0,0,0,0,0
BALUD MUNICIPAL HOSPITAL,2020-04-16 6:51:15,2020-04-16 6:51:15,0,38,DOH000000000003026,0,1,2020-04-16,0,0,0,0,0
BALUD MUNICIPAL HOSPITAL,2020-04-17 6:52:00,2020-04-17 6:52:00,0,753,DOH000000000003026,0,1,2020-04-17,0,0,0,0,0
ALCALA MUNICIPAL HOSPITAL,2020-04-17 8:08:44,2020-04-17 8:08:44,0,921,DOH000000000003027,0,2,2020-04-17,0,0,0,0,0
ALCALA MUNICIPAL HOSPITAL,2020-04-16 9:07:19,2020-04-16 9:07:19,0,265,DOH000000000003027,0,2,2020-04-16,0,0,0,0,0
NARRA MUNICIPAL HOSPITAL,2020-04-17 8:40:13,2020-04-17 8:40:13,0,1073,DOH000000000003065,0,2,2020-04-17,0,0,0,0,0
NARRA MUNICIPAL HOSPITAL,2020-04-16 8:42:03,2020-04-16 8:42:03,0,211,DOH000000000003065,0,2,2020-04-16,0,0,0,0,0
SIQUIJOR PROVINCIAL HOSPITAL,2020-04-16 17:05:31,2020-04-16 17:05:31,32,672,DOH000000000003095,0,32,2020-04-16,7,0,0,7,0
MATNOG MEDICARE COMMUNITY HOSPITAL,2020-04-16 6:17:16,2020-04-16 6:17:16,0,19,DOH000000000003100,0,0,2020-04-16,0,0,0,0,0
MATNOG MEDICARE COMMUNITY HOSPITAL,2020-04-17 6:15:39,2020-04-17 6:15:39,0,737,DOH000000000003100,0,0,2020-04-17,0,0,0,0,0
PACUAN COMMUNITY PRIMARY HOSPITAL,2020-04-17 13:17:56,2020-04-17 13:17:56,0,1405,DOH000000000003131,0,1,2020-04-17,0,0,0,0,0
WEST METRO MEDICAL CENTER,2020-04-17 8:35:34,2020-04-17 8:35:34,0,1047,DOH000000000003141,0,2,2020-04-17,0,1,0,0,1
WEST METRO MEDICAL CENTER,2020-04-16 13:36:16,2020-04-16 13:36:16,0,518,DOH000000000003141,0,2,2020-04-16,0,0,0,0,0
BACNOTAN DISTRICT HOSPITAL,2020-04-16 16:05:22,2020-04-16 16:05:22,0,640,DOH000000000003199,0,2,2020-04-16,0,0,0,0,0
BACNOTAN DISTRICT HOSPITAL,2020-04-17 8:11:02,2020-04-17 8:11:02,0,933,DOH000000000003199,0,2,2020-04-17,0,0,0,0,0
ALEOSAN DISTRICT HOSPITAL,2020-04-17 9:37:23,2020-04-17 9:37:23,0,1196,DOH000000000003201,0,0,2020-04-17,0,0,0,0,0
ALEOSAN DISTRICT HOSPITAL,2020-04-16 11:49:28,2020-04-16 11:49:28,0,435,DOH000000000003201,0,0,2020-04-16,0,0,0,0,0
DVO. ORIENTAL PROV'L HOSP.- LUPON,2020-04-17 10:28:37,2020-04-17 10:28:37,0,1268,DOH000000000003211,0,6,2020-04-17,0,0,0,0,0
DVO. ORIENTAL PROV'L HOSP.- LUPON,2020-04-16 13:42:13,2020-04-16 13:42:13,0,523,DOH000000000003211,0,0,2020-04-16,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - TAGUDIN,2020-04-17 10:59:11,2020-04-17 10:59:11,4,1306,DOH000000000003212,0,5,2020-04-17,3,0,0,1,0
LABRADOR MUNICIPAL HOSPITAL,2020-04-17 8:29:22,2020-04-17 8:29:22,0,1021,DOH000000000003277,0,0,2020-04-17,0,0,0,0,0
LABRADOR MUNICIPAL HOSPITAL,2020-04-16 10:01:06,2020-04-16 10:01:06,0,333,DOH000000000003277,0,0,2020-04-16,0,0,0,0,0
OSPITAL NG GUIGUINTO,2020-04-16 14:23:29,2020-04-16 14:23:29,0,563,DOH000000000003283,0,2,2020-04-16,0,0,0,0,0
OSPITAL NG GUIGUINTO,2020-04-17 8:42:11,2020-04-17 8:42:11,0,1081,DOH000000000003283,0,0,2020-04-17,0,0,0,0,2
LIANKO'S MEDICAL CLINIC,2020-04-17 7:35:06,2020-04-17 7:35:06,0,812,DOH000000000003284,0,0,2020-04-17,0,0,0,0,0
LIANKO'S MEDICAL CLINIC,2020-04-16 7:58:09,2020-04-16 7:58:09,0,113,DOH000000000003284,0,0,2020-04-16,0,0,0,0,0
DR. ANTONIO A. RANADA CLINIC AND LYING-IN HOSPITAL,2020-04-16 10:44:24,2020-04-16 10:44:24,0,380,DOH000000000003297,0,0,2020-04-16,0,0,0,0,0
DR. ANTONIO A. RANADA CLINIC AND LYING-IN HOSPITAL,2020-04-17 7:58:24,2020-04-17 7:58:24,0,861,DOH000000000003297,0,0,2020-04-17,0,0,0,0,0
GENEROSA I. GONZALES MEMORIAL HOSPITAL,2020-04-16 9:19:15,2020-04-16 9:19:15,0,285,DOH000000000003299,0,0,2020-04-16,0,0,0,0,0
GENEROSA I. GONZALES MEMORIAL HOSPITAL,2020-04-17 9:28:56,2020-04-17 9:28:56,0,1179,DOH000000000003299,0,0,2020-04-17,0,0,0,0,0
BAYUGAN COMMUNITY HOSPITAL,2020-04-16 9:51:16,2020-04-16 9:51:16,0,322,DOH000000000003300,0,0,2020-04-16,0,0,0,0,0
BAYUGAN COMMUNITY HOSPITAL,2020-04-17 7:51:55,2020-04-17 7:51:55,0,844,DOH000000000003300,0,0,2020-04-17,0,0,0,0,0
ABELLA MIDWAY HOSPITAL,2020-04-17 15:05:33,2020-04-17 15:05:33,0,1472,DOH000000000003315,0,0,2020-04-17,0,0,0,0,0
ABELLA MIDWAY HOSPITAL,2020-04-16 11:48:49,2020-04-16 11:48:49,0,430,DOH000000000003315,0,0,2020-04-16,0,0,0,0,0
DANAO-SALE HOSPITAL,2020-04-17 7:58:33,2020-04-17 7:58:33,0,863,DOH000000000003317,0,0,2020-04-17,0,0,0,0,0
DANAO-SALE HOSPITAL,2020-04-16 7:47:28,2020-04-16 7:47:28,0,95,DOH000000000003317,0,0,2020-04-16,0,0,0,0,0
OCAMPO MUNICIPAL HOSPITAL,2020-04-17 7:37:19,2020-04-17 7:37:19,0,814,DOH000000000003346,0,0,2020-04-17,0,0,0,0,0
OCAMPO MUNICIPAL HOSPITAL,2020-04-16 12:55:20,2020-04-16 12:55:20,0,488,DOH000000000003346,0,0,2020-04-16,0,0,0,0,0
LUNA GOCO MEDICAL CENTER,2020-04-16 7:43:49,2020-04-16 7:43:49,3,90,DOH000000000003351,0,0,2020-04-16,0,0,0,0,0
LUNA GOCO MEDICAL CENTER,2020-04-17 8:43:57,2020-04-17 8:43:57,3,1085,DOH000000000003351,0,0,2020-04-17,0,0,0,0,0
WESTERN PANGASINAN DISTRICT HOSPITAL,2020-04-17 10:43:23,2020-04-17 10:43:23,0,1290,DOH000000000003374,0,3,2020-04-17,0,0,0,0,0
MAHAYAG DISTRICT HOSPITAL,2020-04-16 7:48:39,2020-04-16 7:48:39,0,97,DOH000000000003378,0,0,2020-04-16,0,0,0,0,0
MAHAYAG DISTRICT HOSPITAL,2020-04-17 7:48:13,2020-04-17 7:48:13,0,833,DOH000000000003378,0,0,2020-04-17,0,0,0,0,0
ALFONSO PONCE ENRILE MEMORIAL DISTRICT HOSPITAL,2020-04-16 21:12:28,2020-04-16 21:12:28,0,716,DOH000000000003400,0,3,2020-04-16,0,0,0,0,0
MOISES R. ESPINOSA SR. MEMORIAL MUNICIPAL HOSPITAL,2020-04-16 6:24:29,2020-04-16 6:24:29,5,21,DOH000000000003408,0,1,2020-04-16,0,0,0,0,0
MOISES R. ESPINOSA SR. MEMORIAL MUNICIPAL HOSPITAL,2020-04-17 6:55:18,2020-04-17 6:55:18,1,755,DOH000000000003408,0,5,2020-04-17,0,0,0,0,0
KUTA CESAR L. SANG-AN STATION HOSPITAL,2020-04-17 8:05:33,2020-04-17 8:05:33,0,898,DOH000000000003413,0,2,2020-04-17,1,0,0,0,0
KUTA CESAR L. SANG-AN STATION HOSPITAL,2020-04-16 7:51:46,2020-04-16 7:51:46,0,105,DOH000000000003413,0,2,2020-04-16,1,0,0,0,0
LORETO DISTRICT HOSPITAL,2020-04-17 8:10:16,2020-04-17 8:10:16,0,927,DOH000000000003415,0,0,2020-04-17,0,0,0,0,0
LORETO DISTRICT HOSPITAL,2020-04-16 8:07:01,2020-04-16 8:07:01,0,134,DOH000000000003415,0,0,2020-04-16,0,0,0,0,0
CENTRAL MINDANAO UNIVERSITY HOSPITAL,2020-04-17 15:05:28,2020-04-17 15:05:28,0,1471,DOH000000000003421,0,0,2020-04-17,0,0,0,0,0
BALAOAN DISTRICT HOSPITAL,2020-04-17 9:21:21,2020-04-17 9:21:21,0,1166,DOH000000000003432,0,2,2020-04-17,1,0,0,0,0
BALAOAN DISTRICT HOSPITAL,2020-04-16 9:48:37,2020-04-16 9:48:37,0,319,DOH000000000003432,0,0,2020-04-16,0,0,0,0,0
DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,2020-04-16 10:07:43,2020-04-16 10:07:43,0,344,DOH000000000003441,0,0,2020-04-16,0,0,0,0,0
DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL,2020-04-17 9:48:22,2020-04-17 9:48:22,0,1216,DOH000000000003441,0,0,2020-04-17,0,0,0,0,0
