cfname,updateddate,addeddate,hfhudcode,beds_ward_v,reportdate,id,isolbed_v,icu_o,beds_ward_o,icu_v,isolbed_o,mechvent_o,mechvent_v
BAYAWAN DISTRICT HOSPITAL,2020-04-17 9:31:05,2020-04-17 9:31:05,DOH000000000001891,0,2020-04-17,1183,3,0,0,0,2,0,0
AGLIPAY DISTRICT HOSPITAL,2020-04-17 15:36:35,2020-04-17 15:36:35,DOH000000000001898,0,2020-04-17,1486,0,0,0,0,0,0,0
AGLIPAY DISTRICT HOSPITAL,2020-04-16 9:45:41,2020-04-16 9:45:41,DOH000000000001898,0,2020-04-16,315,0,0,0,0,0,0,0
AGLIPAY DISTRICT HOSPITAL,2020-04-18 8:26:53,2020-04-18 8:26:53,DOH000000000001898,0,2020-04-18,1912,0,0,0,0,0,0,0
LLORENTE MUNICIPAL HOSPITAL,2020-04-18 8:18:43,2020-04-18 8:18:43,DOH000000000001930,0,2020-04-18,1875,1,0,0,0,0,0,0
LLORENTE MUNICIPAL HOSPITAL,2020-04-17 8:13:01,2020-04-17 8:13:01,DOH000000000001930,0,2020-04-17,944,1,0,0,0,0,0,0
LLORENTE MUNICIPAL HOSPITAL,2020-04-16 12:38:27,2020-04-16 12:38:27,DOH000000000001930,0,2020-04-16,478,1,0,0,0,0,0,0
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-18 9:21:35,2020-04-18 9:21:35,DOH000000000001945,0,2020-04-18,2051,0,0,1,0,1,0,0
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-17 11:01:49,2020-04-17 11:01:49,DOH000000000001945,0,2020-04-17,1309,0,0,1,0,1,0,0
"GUIGUINTO POLYMEDIC HOSPITAL, INC. (formerly BULACAN POLYMED",2020-04-16 15:28:23,2020-04-16 15:28:23,DOH000000000001945,0,2020-04-16,613,0,0,0,0,1,0,0
MAGTABOG GENERAL HOSPITAL,2020-04-16 15:43:09,2020-04-16 15:43:09,DOH000000000001955,0,2020-04-16,623,0,0,0,0,0,0,0
MAGTABOG GENERAL HOSPITAL,2020-04-17 15:48:56,2020-04-17 15:48:56,DOH000000000001955,0,2020-04-17,1495,0,0,0,0,0,0,0
MAGTABOG GENERAL HOSPITAL,2020-04-18 8:37:59,2020-04-18 8:37:59,DOH000000000001955,0,2020-04-18,1947,0,0,0,0,0,0,0
MARIVELES MENTAL WELLNESS  AND GENERAL HOSPITAL,2020-04-16 16:21:37,2020-04-16 16:21:37,DOH000000000001977,6,2020-04-16,651,3,0,6,0,8,0,0
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-16 8:02:28,2020-04-16 8:02:28,DOH000000000001979,0,2020-04-16,121,0,0,0,0,0,0,0
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-17 8:30:02,2020-04-17 8:30:02,DOH000000000001979,0,2020-04-17,1024,0,0,0,0,0,0,0
NUESTRA SENORA DE PIAT DISTRICT HOSPITAL,2020-04-18 9:04:04,2020-04-18 9:04:04,DOH000000000001979,0,2020-04-18,2014,0,0,0,0,0,0,0
ALICIA DISTRICT HOSPITAL,2020-04-16 6:20:46,2020-04-16 6:20:46,DOH000000000001980,0,2020-04-16,20,5,0,0,0,1,0,0
ALICIA DISTRICT HOSPITAL,2020-04-17 8:39:33,2020-04-17 8:39:33,DOH000000000001980,0,2020-04-17,1068,6,0,0,0,0,0,0
ALICIA DISTRICT HOSPITAL,2020-04-18 7:18:12,2020-04-18 7:18:12,DOH000000000001980,0,2020-04-18,1650,6,0,0,0,0,0,0
MANDAON MEDICARE COMMUNITY HOSPITAL,2020-04-17 16:11:57,2020-04-17 16:11:57,DOH000000000001994,0,2020-04-17,1509,0,0,0,0,0,0,0
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-16 13:03:52,2020-04-16 13:03:52,DOH000000000002014,0,2020-04-16,497,2,0,0,0,0,0,0
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-18 7:25:01,2020-04-18 7:25:01,DOH000000000002014,0,2020-04-18,1666,2,0,0,0,0,0,0
TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-17 12:40:09,2020-04-17 12:40:09,DOH000000000002014,0,2020-04-17,1379,2,0,0,0,0,0,0
MAGALLANES MEDICARE COMMUNITY HOSPITAL,2020-04-16 7:19:13,2020-04-16 7:19:13,DOH000000000002025,0,2020-04-16,55,1,0,0,0,0,0,0
MAGALLANES MEDICARE COMMUNITY HOSPITAL,2020-04-18 7:35:32,2020-04-18 7:35:32,DOH000000000002025,0,2020-04-18,1683,1,0,0,0,0,0,0
MAINIT MEDICARE COMMUNITY HOSPITAL,2020-04-16 11:30:25,2020-04-16 11:30:25,DOH000000000002051,0,2020-04-16,415,0,0,0,0,0,0,0
TINAMBAC MUNICIPAL HOSPITAL,2020-04-18 8:23:22,2020-04-18 8:23:22,DOH000000000002060,0,2020-04-18,1897,2,0,0,0,0,0,0
TINAMBAC MUNICIPAL HOSPITAL,2020-04-17 8:38:32,2020-04-17 8:38:32,DOH000000000002060,0,2020-04-17,1064,2,0,0,0,0,0,0
TINAMBAC MUNICIPAL HOSPITAL,2020-04-16 9:16:57,2020-04-16 9:16:57,DOH000000000002060,0,2020-04-16,281,2,0,0,0,0,0,0
"LOPEZ DISTRICT FARMERS HOSPITAL, INC.",2020-04-17 10:21:21,2020-04-17 10:21:21,DOH000000000002102,0,2020-04-17,1259,0,0,0,0,0,0,0
"LOPEZ DISTRICT FARMERS HOSPITAL, INC.",2020-04-16 17:41:38,2020-04-16 17:41:38,DOH000000000002102,0,2020-04-16,688,1,0,0,0,0,0,0
PINES CITY DOCTORS? HOSPITAL,2020-04-16 18:14:52,2020-04-16 18:14:52,DOH000000000002113,0,2020-04-16,701,0,0,0,0,1,0,0
PINES CITY DOCTORS? HOSPITAL,2020-04-17 6:18:11,2020-04-17 6:18:11,DOH000000000002113,0,2020-04-17,739,0,0,0,0,2,0,0
PINES CITY DOCTORS? HOSPITAL,2020-04-18 7:40:32,2020-04-18 7:40:32,DOH000000000002113,0,2020-04-18,1693,0,0,0,0,1,0,0
CLAVERIA DISTRICT HOSPITAL,2020-04-16 4:36:08,2020-04-16 4:36:08,DOH000000000002129,0,2020-04-16,11,3,0,0,0,0,0,0
CLAVERIA DISTRICT HOSPITAL,2020-04-18 3:31:51,2020-04-18 3:31:51,DOH000000000002129,0,2020-04-18,1584,3,0,0,0,0,0,0
CLAVERIA DISTRICT HOSPITAL,2020-04-17 4:35:51,2020-04-17 4:35:51,DOH000000000002129,0,2020-04-17,723,3,0,0,0,0,0,0
DVO. ORIENTAL PROV'L. HOSP-MANAY,2020-04-16 10:14:01,2020-04-16 10:14:01,DOH000000000002131,0,2020-04-16,349,0,0,0,0,0,0,0
DVO. ORIENTAL PROV'L. HOSP-MANAY,2020-04-17 16:09:16,2020-04-17 16:09:16,DOH000000000002131,0,2020-04-17,1506,0,0,0,0,0,0,0
MANGATAREM DISTRICT HOSPITAL,2020-04-17 9:25:24,2020-04-17 9:25:24,DOH000000000002132,0,2020-04-17,1173,4,0,0,0,0,0,0
MANGATAREM DISTRICT HOSPITAL,2020-04-16 8:33:09,2020-04-16 8:33:09,DOH000000000002132,0,2020-04-16,189,4,0,0,0,0,0,0
MANGATAREM DISTRICT HOSPITAL,2020-04-18 9:22:24,2020-04-18 9:22:24,DOH000000000002132,0,2020-04-18,2055,4,0,0,0,0,0,0
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-16 7:14:27,2020-04-16 7:14:27,DOH000000000002141,0,2020-04-16,50,0,0,0,0,0,0,0
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-17 6:45:16,2020-04-17 6:45:16,DOH000000000002141,0,2020-04-17,749,0,0,0,0,0,0,0
DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-18 6:53:11,2020-04-18 6:53:11,DOH000000000002141,0,2020-04-18,1617,0,0,0,0,0,0,0
BUTUAN MEDICAL CENTER,2020-04-17 7:52:03,2020-04-17 7:52:03,DOH000000000002143,0,2020-04-17,845,7,1,0,3,0,0,0
BUTUAN MEDICAL CENTER,2020-04-18 13:00:28,2020-04-18 13:00:28,DOH000000000002143,0,2020-04-18,2266,7,1,0,3,0,0,0
"BETHEL BAPTIST HOSPITAL, INC.",2020-04-18 7:31:21,2020-04-18 7:31:21,DOH000000000002151,0,2020-04-18,1675,0,0,0,0,0,0,0
"BETHEL BAPTIST HOSPITAL, INC.",2020-04-17 9:21:30,2020-04-17 9:21:30,DOH000000000002151,0,2020-04-17,1167,0,0,0,0,0,0,0
LORETO MUNICIPAL HOSPITAL,2020-04-18 7:37:57,2020-04-18 7:37:57,DOH000000000002154,0,2020-04-18,1689,0,0,0,0,0,0,0
LORETO MUNICIPAL HOSPITAL,2020-04-16 7:56:43,2020-04-16 7:56:43,DOH000000000002154,0,2020-04-16,109,0,0,0,0,0,0,0
LORETO MUNICIPAL HOSPITAL,2020-04-17 7:30:23,2020-04-17 7:30:23,DOH000000000002154,0,2020-04-17,801,0,0,0,0,0,0,0
"MALTA MEDICAL CENTER, INC.",2020-04-16 17:20:29,2020-04-16 17:20:29,DOH000000000002156,0,2020-04-16,682,0,0,0,0,0,0,0
"MALTA MEDICAL CENTER, INC.",2020-04-18 8:19:07,2020-04-18 8:19:07,DOH000000000002156,0,2020-04-18,1879,0,0,0,0,0,0,0
"MALTA MEDICAL CENTER, INC.",2020-04-17 8:07:40,2020-04-17 8:07:40,DOH000000000002156,0,2020-04-17,909,0,0,0,0,0,0,0
MANITO MUNICIPAL HOSPITAL,2020-04-16 11:29:49,2020-04-16 11:29:49,DOH000000000002159,0,2020-04-16,414,1,0,0,0,0,0,0
MANITO MUNICIPAL HOSPITAL,2020-04-17 12:39:44,2020-04-17 12:39:44,DOH000000000002159,0,2020-04-17,1378,1,0,0,0,0,0,0
MANITO MUNICIPAL HOSPITAL,2020-04-18 9:51:11,2020-04-18 9:51:11,DOH000000000002159,0,2020-04-18,2100,1,0,0,0,0,0,0
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-18 10:04:58,2020-04-18 10:04:58,DOH000000000002163,0,2020-04-18,2111,0,0,0,0,0,0,0
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-17 6:11:33,2020-04-17 6:11:33,DOH000000000002163,0,2020-04-17,735,0,0,0,0,0,0,0
PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-16 5:43:43,2020-04-16 5:43:43,DOH000000000002163,0,2020-04-16,16,0,0,0,0,0,0,0
"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",2020-04-18 8:33:50,2020-04-18 8:33:50,DOH000000000002172,7,2020-04-18,1928,27,0,0,7,4,0,0
"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",2020-04-17 10:21:48,2020-04-17 10:21:48,DOH000000000002172,7,2020-04-17,1260,27,0,0,7,4,0,0
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,2020-04-16 11:59:36,2020-04-16 11:59:36,DOH000000000002191,0,2020-04-16,446,0,0,0,0,0,0,0
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,2020-04-17 12:02:24,2020-04-17 12:02:24,DOH000000000002191,0,2020-04-17,1361,0,0,0,0,0,0,0
DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL,2020-04-18 7:48:20,2020-04-18 7:48:20,DOH000000000002191,0,2020-04-18,1712,0,0,0,0,0,0,0
Dr. PJGMRMC Talavera Extension Hospital,2020-04-18 8:49:30,2020-04-18 8:49:30,DOH000000000002212,0,2020-04-18,1974,0,0,0,0,5,0,0
Dr. PJGMRMC Talavera Extension Hospital,2020-04-17 7:33:31,2020-04-17 7:33:31,DOH000000000002212,0,2020-04-17,808,0,0,0,0,5,0,0
Dr. PJGMRMC Talavera Extension Hospital,2020-04-16 14:33:48,2020-04-16 14:33:48,DOH000000000002212,0,2020-04-16,571,0,0,0,0,5,0,0
AGOO MEDICAL CLINIC,2020-04-17 8:51:54,2020-04-17 8:51:54,DOH000000000002255,0,2020-04-17,1109,0,0,0,0,0,0,0
AGOO MEDICAL CLINIC,2020-04-18 12:29:18,2020-04-18 12:29:18,DOH000000000002255,0,2020-04-18,2248,0,0,0,0,0,0,0
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-18 9:36:39,2020-04-18 9:36:39,DOH000000000002260,0,2020-04-18,2079,0,0,0,0,0,0,0
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-16 10:44:11,2020-04-16 10:44:11,DOH000000000002260,0,2020-04-16,379,0,0,0,0,0,0,0
DR. ERLINDA B. ESTANISLAO MEMORIAL HOSPITAL,2020-04-17 10:00:42,2020-04-17 10:00:42,DOH000000000002260,0,2020-04-17,1232,0,0,0,0,0,0,0
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-17 13:36:58,2020-04-17 13:36:58,DOH000000000002262,0,2020-04-17,1422,0,0,0,0,0,0,0
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-18 11:56:41,2020-04-18 11:56:41,DOH000000000002262,0,2020-04-18,2229,0,0,0,0,0,0,0
"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",2020-04-16 14:04:40,2020-04-16 14:04:40,DOH000000000002262,0,2020-04-16,541,0,0,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-16 9:39:37,2020-04-16 9:39:37,DOH000000000002271,0,2020-04-16,307,1,0,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-17 15:00:45,2020-04-17 15:00:45,DOH000000000002271,0,2020-04-17,1467,1,0,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-17 8:46:00,2020-04-17 8:46:00,DOH000000000002297,0,2020-04-17,1087,0,0,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-16 8:05:38,2020-04-16 8:05:38,DOH000000000002297,0,2020-04-16,130,0,0,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-18 8:34:51,2020-04-18 8:34:51,DOH000000000002297,0,2020-04-18,1934,0,0,0,0,0,0,0
SAN ANTONIO CITY OF ILAGAN HOSPITAL,2020-04-15 17:07:04,2020-04-15 17:07:04,DOH000000000002297,0,2020-04-15,2,0,0,0,0,0,0,0
CORROMPIDO SPECIALTY HOSPITAL,2020-04-16 16:36:37,2020-04-16 16:36:37,DOH000000000002321,0,2020-04-16,660,1,0,0,0,1,0,0
CORROMPIDO SPECIALTY HOSPITAL,2020-04-18 10:58:40,2020-04-18 10:58:40,DOH000000000002321,0,2020-04-18,2170,0,1,0,1,0,0,0
LOPEZ FAMILY CLINIC AND HOSPITAL,2020-04-17 15:22:18,2020-04-17 15:22:18,DOH000000000002326,0,2020-04-17,1481,1,0,0,0,0,0,0
DE LOS REYES MEDICAL CLINIC,2020-04-18 8:05:36,2020-04-18 8:05:36,DOH000000000002332,0,2020-04-18,1802,1,0,0,0,0,0,0
DE LOS REYES MEDICAL CLINIC,2020-04-17 11:25:48,2020-04-17 11:25:48,DOH000000000002332,0,2020-04-17,1332,1,0,0,0,0,0,0
DE LOS REYES MEDICAL CLINIC,2020-04-16 8:21:11,2020-04-16 8:21:11,DOH000000000002332,0,2020-04-16,163,1,0,0,0,0,0,0
"BORBON GENERAL HOSPITAL, INC.",2020-04-16 11:48:50,2020-04-16 11:48:50,DOH000000000002355,0,2020-04-16,432,0,0,0,0,0,0,0
"BORBON GENERAL HOSPITAL, INC.",2020-04-17 8:29:16,2020-04-17 8:29:16,DOH000000000002355,0,2020-04-17,1020,0,0,0,0,0,0,0
"BORBON GENERAL HOSPITAL, INC.",2020-04-18 8:44:41,2020-04-18 8:44:41,DOH000000000002355,0,2020-04-18,1957,0,0,0,0,0,0,0
DR. A.P ZANTUA MEMORIAL HOSPITAL,2020-04-16 14:08:34,2020-04-16 14:08:34,DOH000000000002406,0,2020-04-16,544,0,0,0,0,0,0,0
DR. A.P ZANTUA MEMORIAL HOSPITAL,2020-04-18 9:25:25,2020-04-18 9:25:25,DOH000000000002406,0,2020-04-18,2060,0,0,0,0,0,0,0
DR. A.P ZANTUA MEMORIAL HOSPITAL,2020-04-17 12:41:57,2020-04-17 12:41:57,DOH000000000002406,0,2020-04-17,1381,0,0,0,0,0,0,0
JULIO CARDINAL ROSALES MEMORIAL HOSPITAL,2020-04-16 12:07:13,2020-04-16 12:07:13,DOH000000000002420,0,2020-04-16,454,0,0,0,0,0,0,0
JULIO CARDINAL ROSALES MEMORIAL HOSPITAL,2020-04-18 10:54:42,2020-04-18 10:54:42,DOH000000000002420,0,2020-04-18,2166,0,0,0,0,0,0,0
JULIO CARDINAL ROSALES MEMORIAL HOSPITAL,2020-04-17 9:39:41,2020-04-17 9:39:41,DOH000000000002420,0,2020-04-17,1201,0,0,0,0,0,0,0
BISLIG DISTRICT HOSPITAL,2020-04-17 7:54:14,2020-04-17 7:54:14,DOH000000000002421,2,2020-04-17,853,6,0,0,0,0,0,0
BISLIG DISTRICT HOSPITAL,2020-04-16 8:46:12,2020-04-16 8:46:12,DOH000000000002421,2,2020-04-16,225,6,0,0,0,0,0,0
BISLIG DISTRICT HOSPITAL,2020-04-18 8:39:46,2020-04-18 8:39:46,DOH000000000002421,2,2020-04-18,1953,6,0,0,0,0,0,0
CANDIJAY COMMUNITY HOSPITAL,2020-04-17 10:00:23,2020-04-17 10:00:23,DOH000000000002435,0,2020-04-17,1231,3,0,0,0,0,0,0
DONA MARIA D. TAN MEMORIAL HOSPITAL,2020-04-18 11:21:28,2020-04-18 11:21:28,DOH000000000002451,0,2020-04-18,2190,33,0,0,0,0,0,0
DONA MARIA D. TAN MEMORIAL HOSPITAL,2020-04-17 14:48:06,2020-04-17 14:48:06,DOH000000000002451,0,2020-04-17,1459,33,0,0,0,0,0,0
DONA MARIA D. TAN MEMORIAL HOSPITAL,2020-04-16 16:34:36,2020-04-16 16:34:36,DOH000000000002451,0,2020-04-16,659,33,0,0,0,0,0,0
LILOY INTEGRATED HEALTH DISTRICT HOSPITAL,2020-04-16 8:17:37,2020-04-16 8:17:37,DOH000000000002452,0,2020-04-16,159,0,0,0,0,0,0,0
LILOY INTEGRATED HEALTH DISTRICT HOSPITAL,2020-04-17 7:44:32,2020-04-17 7:44:32,DOH000000000002452,0,2020-04-17,826,0,0,0,0,0,0,0
LILOY INTEGRATED HEALTH DISTRICT HOSPITAL,2020-04-18 8:40:18,2020-04-18 8:40:18,DOH000000000002452,0,2020-04-18,1954,0,0,0,0,0,0,0
SIPOCOT DISTRICT HOSPITAL,2020-04-16 8:08:55,2020-04-16 8:08:55,DOH000000000002462,0,2020-04-16,141,2,0,0,0,0,0,0
SIPOCOT DISTRICT HOSPITAL,2020-04-18 8:19:43,2020-04-18 8:19:43,DOH000000000002462,0,2020-04-18,1881,2,0,0,0,0,0,0
SIPOCOT DISTRICT HOSPITAL,2020-04-17 7:47:06,2020-04-17 7:47:06,DOH000000000002462,0,2020-04-17,831,2,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,2020-04-16 13:00:37,2020-04-16 13:00:37,DOH000000000002463,0,2020-04-16,494,0,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,2020-04-17 10:28:34,2020-04-17 10:28:34,DOH000000000002463,0,2020-04-17,1267,0,0,0,0,0,0,0
ILOCOS SUR DISTRICT HOSPITAL - SANTA LUCIA,2020-04-18 11:45:49,2020-04-18 11:45:49,DOH000000000002463,0,2020-04-18,2221,0,0,0,0,0,0,0
ROSARIO-TRINO MEDICAL CLINIC AND DIAGNOSTIC CENTER,2020-04-17 8:38:28,2020-04-17 8:38:28,DOH000000000002471,0,2020-04-17,1063,0,0,0,0,0,0,0
ROSARIO-TRINO MEDICAL CLINIC AND DIAGNOSTIC CENTER,2020-04-18 8:02:55,2020-04-18 8:02:55,DOH000000000002471,0,2020-04-18,1778,0,0,0,0,0,0,0
ROSARIO-TRINO MEDICAL CLINIC AND DIAGNOSTIC CENTER,2020-04-16 13:38:55,2020-04-16 13:38:55,DOH000000000002471,0,2020-04-16,520,0,0,0,0,0,0,0
"DIGOS DOCTORS? HOSPITAL, INC.",2020-04-18 14:00:21,2020-04-18 14:00:21,DOH000000000002479,0,2020-04-18,2296,0,0,0,0,2,0,0
"DIGOS DOCTORS? HOSPITAL, INC.",2020-04-17 15:18:57,2020-04-17 15:18:57,DOH000000000002479,0,2020-04-17,1478,0,0,0,2,2,0,0
"DIGOS DOCTORS? HOSPITAL, INC.",2020-04-16 12:59:45,2020-04-16 12:59:45,DOH000000000002479,0,2020-04-16,492,0,0,0,0,2,0,0
AMOROSO MEDICAL CLINIC,2020-04-17 8:05:19,2020-04-17 8:05:19,DOH000000000002490,0,2020-04-17,896,0,0,0,0,0,0,0
AMOROSO MEDICAL CLINIC,2020-04-16 8:29:55,2020-04-16 8:29:55,DOH000000000002490,0,2020-04-16,183,0,0,0,0,0,0,0
AMOROSO MEDICAL CLINIC,2020-04-18 8:56:05,2020-04-18 8:56:05,DOH000000000002490,0,2020-04-18,1992,0,0,0,0,0,0,0
SAN CARLOS DOCTORS' HOSPITAL,2020-04-16 11:03:41,2020-04-16 11:03:41,DOH000000000002495,0,2020-04-16,397,9,0,0,2,0,0,0
SAN CARLOS DOCTORS' HOSPITAL,2020-04-18 7:58:35,2020-04-18 7:58:35,DOH000000000002495,0,2020-04-18,1747,9,0,0,2,0,0,0
SAN CARLOS DOCTORS' HOSPITAL,2020-04-17 8:54:57,2020-04-17 8:54:57,DOH000000000002495,0,2020-04-17,1117,9,0,0,2,0,0,0
"JAVONILLO HOSPITAL, INC.",2020-04-17 8:29:03,2020-04-17 8:29:03,DOH000000000002506,0,2020-04-17,1019,0,0,0,0,0,0,0
ST. PAUL GENERAL HOSPITAL,2020-04-17 15:55:43,2020-04-17 15:55:43,DOH000000000002532,0,2020-04-17,1500,1,0,0,0,0,0,0
ST. PAUL GENERAL HOSPITAL,2020-04-16 16:21:56,2020-04-16 16:21:56,DOH000000000002532,0,2020-04-16,652,1,0,0,0,0,0,0
QUEZON COMMUNITY INFIRMARY,2020-04-18 8:18:58,2020-04-18 8:18:58,DOH000000000002549,0,2020-04-18,1878,1,0,0,0,0,0,0
QUEZON COMMUNITY INFIRMARY,2020-04-17 9:41:27,2020-04-17 9:41:27,DOH000000000002549,0,2020-04-17,1206,1,0,0,0,0,0,0
QUEZON COMMUNITY INFIRMARY,2020-04-16 7:00:54,2020-04-16 7:00:54,DOH000000000002549,0,2020-04-16,41,1,0,0,0,0,0,0
AUGUIS CLINIC & HOSPITAL,2020-04-17 8:59:56,2020-04-17 8:59:56,DOH000000000002560,0,2020-04-17,1132,1,0,0,0,0,0,0
DAVO ORIENTAL PROV'L HOSP.-CATEEL,2020-04-18 4:23:18,2020-04-18 4:23:18,DOH000000000002575,0,2020-04-18,1586,2,0,0,0,0,0,0
"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",2020-04-18 9:53:43,2020-04-18 9:53:43,DOH000000000002597,0,2020-04-18,2103,0,0,0,0,0,0,0
"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",2020-04-16 8:31:06,2020-04-16 8:31:06,DOH000000000002597,0,2020-04-16,185,0,0,0,0,0,0,0
"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",2020-04-17 8:12:49,2020-04-17 8:12:49,DOH000000000002597,0,2020-04-17,943,0,0,0,0,0,0,0
MMGHHSP COOPERATI VE HOSPITAL,2020-04-16 10:30:23,2020-04-16 10:30:23,DOH000000000002634,0,2020-04-16,367,2,0,0,0,1,0,0
MMGHHSP COOPERATI VE HOSPITAL,2020-04-17 8:57:00,2020-04-17 8:57:00,DOH000000000002634,0,2020-04-17,1126,2,0,0,0,0,0,0
MMGHHSP COOPERATI VE HOSPITAL,2020-04-18 7:52:55,2020-04-18 7:52:55,DOH000000000002634,0,2020-04-18,1727,2,0,0,0,0,0,0
MANUEL A. ROXAS DISTRICT HOSPITAL,2020-04-17 8:55:50,2020-04-17 8:55:50,DOH000000000002676,0,2020-04-17,1122,5,0,0,0,0,0,0
MANUEL A. ROXAS DISTRICT HOSPITAL,2020-04-18 12:11:39,2020-04-18 12:11:39,DOH000000000002676,0,2020-04-18,2236,5,0,0,0,0,0,0
MANUEL A. ROXAS DISTRICT HOSPITAL,2020-04-16 10:54:40,2020-04-16 10:54:40,DOH000000000002676,0,2020-04-16,389,5,0,0,0,0,0,0
ORMOC DISTRICT HOSPITAL,2020-04-18 8:01:41,2020-04-18 8:01:41,DOH000000000002691,6,2020-04-18,1770,6,0,0,0,0,0,0
ORMOC DISTRICT HOSPITAL,2020-04-16 11:42:33,2020-04-16 11:42:33,DOH000000000002691,6,2020-04-16,428,6,0,0,6,0,0,0
ORMOC DISTRICT HOSPITAL,2020-04-17 8:14:58,2020-04-17 8:14:58,DOH000000000002691,6,2020-04-17,954,6,0,0,0,0,0,0
PALUAN COMMUNITY HOSPITAL,2020-04-16 12:20:32,2020-04-16 12:20:32,DOH000000000002713,0,2020-04-16,467,3,0,0,0,0,0,0
PALUAN COMMUNITY HOSPITAL,2020-04-18 8:02:01,2020-04-18 8:02:01,DOH000000000002713,0,2020-04-18,1773,3,0,0,0,0,0,0
PALUAN COMMUNITY HOSPITAL,2020-04-17 8:23:13,2020-04-17 8:23:13,DOH000000000002713,0,2020-04-17,997,3,0,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - INITAO,2020-04-18 8:17:55,2020-04-18 8:17:55,DOH000000000002732,0,2020-04-18,1867,1,0,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - INITAO,2020-04-17 9:57:06,2020-04-17 9:57:06,DOH000000000002732,0,2020-04-17,1227,1,0,0,0,0,0,0
"ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER, INC.",2020-04-17 21:28:03,2020-04-17 21:28:03,DOH000000000002740,0,2020-04-17,1578,0,1,1,0,2,0,0
GREGORIO MATAS DISTRICT HOSPITAL,2020-04-16 12:19:27,2020-04-16 12:19:27,DOH000000000002747,0,2020-04-16,465,0,0,0,0,0,0,0
DR. DAMIAN REYES PROVINCIAL HOSPITAL,2020-04-17 9:04:22,2020-04-17 9:04:22,DOH000000000002748,10,2020-04-17,1140,20,0,0,0,0,0,0
DR. DAMIAN REYES PROVINCIAL HOSPITAL,2020-04-16 9:30:18,2020-04-16 9:30:18,DOH000000000002748,10,2020-04-16,298,20,0,0,0,0,0,0
DR. DAMIAN REYES PROVINCIAL HOSPITAL,2020-04-18 8:02:12,2020-04-18 8:02:12,DOH000000000002748,10,2020-04-18,1774,10,0,0,0,0,0,0
WESTMIN UNITED DOCTORS HOSPITAL CO.,2020-04-16 8:07:11,2020-04-16 8:07:11,DOH000000000002750,0,2020-04-16,136,0,0,0,0,0,0,0
WESTMIN UNITED DOCTORS HOSPITAL CO.,2020-04-17 7:43:44,2020-04-17 7:43:44,DOH000000000002750,0,2020-04-17,822,0,0,0,0,0,0,0
WESTMIN UNITED DOCTORS HOSPITAL CO.,2020-04-18 7:38:48,2020-04-18 7:38:48,DOH000000000002750,0,2020-04-18,1692,0,0,0,0,0,0,0
CARLOS P. ACOSTA CLINIC & HOSPITAL,2020-04-17 13:29:12,2020-04-17 13:29:12,DOH000000000002752,0,2020-04-17,1414,0,0,0,0,0,0,0
